Année,Examen,Code,DREN/DDEN,Catégorie,Genre ,Effectif
2016,BEPC,,ABENGOUROU,Présents,Garçon,4176
2016,BEPC,,ABIDJAN 1,Présents,Garçon,4921
2016,BEPC,,ABIDJAN 2,Présents,Garçon,8100
2016,BEPC,,ABIDJAN 3,Présents,Garçon,14143
2016,BEPC,,ABIDJAN 4,Présents,Garçon,11713
2016,BEPC,,ABOISSO,Présents,Garçon,2629
2016,BEPC,,ADZOPE,Présents,Garçon,2569
2016,BEPC,,AGBOVILLE,Présents,Garçon,2058
2016,BEPC,,BONDOUKOU,Présents,Garçon,2657
2016,BEPC,,BONGOUANOU,Présents,Garçon,1496
2016,BEPC,,BOUAFLE,Présents,Garçon,1591
2016,BEPC,,BOUAKE  1,Présents,Garçon,3142
2016,BEPC,,BOUAKE  2,Présents,Garçon,5263
2016,BEPC,,BOUNA,Présents,Garçon,549
2016,BEPC,,BOUNDIALI,Présents,Garçon,1150
2016,BEPC,,DABOU,Présents,Garçon,2570
2016,BEPC,,DALOA,Présents,Garçon,7262
2016,BEPC,,DANANE,Présents,Garçon,1766
2016,BEPC,,DAOUKRO,Présents,Garçon,2225
2016,BEPC,,DIMBOKRO,Présents,Garçon,1998
2016,BEPC,,DIVO,Présents,Garçon,6065
2016,BEPC,,DUEKOUE,Présents,Garçon,3179
2016,BEPC,,FERKESSEDOUGOU,Présents,Garçon,1306
2016,BEPC,,GAGNOA,Présents,Garçon,3821
2016,BEPC,,GRAND­BASSAM,Présents,Garçon,2022
2016,BEPC,,GUIGLO,Présents,Garçon,1917
2016,BEPC,,ISSIA,Présents,Garçon,1917
2016,BEPC,,KATIOLA,Présents,Garçon,1309
2016,BEPC,,KORHOGO,Présents,Garçon,2836
2016,BEPC,,MAN,Présents,Garçon,3163
2016,BEPC,,MANKONO,Présents,Garçon,905
2016,BEPC,,MINIGNAN,Présents,Garçon,65
2016,BEPC,,ODIENNE,Présents,Garçon,1213
2016,BEPC,,SAN­PEDRO,Présents,Garçon,4674
2016,BEPC,,SASSANDRA,Présents,Garçon,1010
2016,BEPC,,SEGUELA,Présents,Garçon,1297
2016,BEPC,,SINFRA,Présents,Garçon,2659
2016,BEPC,,SOUBRE,Présents,Garçon,6522
2016,BEPC,,TIASSALE,Présents,Garçon,1407
2016,BEPC,,TOUBA,Présents,Garçon,440
2016,BEPC,,YAMOUSSOUKRO,Présents,Garçon,5838
2016,BEPC,,ABENGOUROU,Admis,Fille,1615
2016,BEPC,,ABIDJAN 1,Admis,Fille,3616
2016,BEPC,,ABIDJAN 2,Admis,Fille,6084
2016,BEPC,,ABIDJAN 3,Admis,Fille,10808
2016,BEPC,,ABIDJAN 4,Admis,Fille,7685
2016,BEPC,,ABOISSO,Admis,Fille,1324
2016,BEPC,,ADZOPE,Admis,Fille,872
2016,BEPC,,AGBOVILLE,Admis,Fille,730
2016,BEPC,,BONDOUKOU,Admis,Fille,823
2016,BEPC,,BONGOUANOU,Admis,Fille,557
2016,BEPC,,BOUAFLE,Admis,Fille,459
2016,BEPC,,BOUAKE  1,Admis,Fille,1126
2016,BEPC,,BOUAKE  2,Admis,Fille,1507
2016,BEPC,,BOUNA,Admis,Fille,132
2016,BEPC,,BOUNDIALI,Admis,Fille,632
